丁, uni
益, ⿳䒑八皿
盏, ⿱<戋>⿻戈一皿
盐, ⿱<圤>⿰土卜皿
监, ⿱⿰〢<个>⿱𠂉丶皿
盒, ⿱<合>⿱<CDP-8AFC>⿵𠆢一口皿
盔, ⿱<灰>⿸厂<火>⿱八人皿
盖, ⿱<𦍌>⿱䒑土皿
盗, ⿱<次>⿰冫欠皿
盘, ⿱舟皿
盛, ⿱<成>⿵戊𠃌皿
盟, ⿱<明>⿰日月皿
盯, ⿰目丁
盲, ⿱<亡>⿱亠𠃊目
直, ⿱十⿺𠃊目
相, ⿰木目
盹, ⿰目<屯>⿻丿<𡳾>⿻凵乚
盼, ⿰目<分>⿱八<刀>⿹𠃌丿
盾, ⿸𠂆<𥃭>⿱十目
省, ⿱<少>⿱小丿目
眉, ⿸𠃜目
看, ⿱龵目
真, ⿱十具
眠, ⿰目民
眨, ⿰目乏
眯, ⿰目米
眶, ⿰目<匡>⿷匚<王>⿱一土
眷, ⿱<𠔉>⿱八夫目
眼, ⿰目艮
着, ⿸<CDP-8CCC>⿱<𦍌>⿱䒑土丿目
睁, ⿰目争
睛, ⿰目<靑>⿱龶円
睡, ⿰目垂
督, ⿱<叔>⿰<尗>⿱<上>⿱⺊一小又目
睦, ⿰目<坴>⿱<圥>⿱土儿土
睬, ⿰目<采>⿱爫木
睹, ⿰目<者>⿸耂日
瞄, ⿰目<苗>⿱艹田
瞎, ⿰目<害>⿳宀龶口
瞒, ⿰目⿱艹两
瞧, ⿰目<焦>⿱隹灬
瞪, ⿰目<登>⿱癶豆
瞬, ⿰目<舜>⿱<CDP-8BB8>⿱爫冖舛
瞳, ⿰目<童>⿱立里
瞻, ⿰目<詹>⿸<厃>⿱𠂊厂⿱儿言
矗, ⿱<直>⿱十⿺𠃊目⿰<直>⿱十⿺𠃊目<直>⿱十⿺𠃊目
矛, ⿹<予>⿱龴<𠄐>⿱乛亅丿
矢, ⿱𠂉大
知, ⿰矢口
矩, ⿰矢巨
矫, ⿰矢<乔>⿱夭<CDP-8BF5>⿰丿丨
短, ⿰矢豆
矮, ⿰矢<委>⿱禾女
石, ⿸<丆>⿱一丿口
矾, ⿰<石>⿸<丆>⿱一丿口<凡>⿵几丶
矿, ⿰<石>⿸<丆>⿱一丿口广
码, ⿰<石>⿸<丆>⿱一丿口马
砂, ⿰<石>⿸<丆>⿱一丿口<少>⿱小丿
砌, ⿰<石>⿸<丆>⿱一丿口<切>⿰<七>⿻<CDP-8DE4>;乚<刀>⿹𠃌丿
砍, ⿰<石>⿸<丆>⿱一丿口欠
研, ⿰<石>⿸<丆>⿱一丿口<开>⿱一廾
砖, ⿰<石>⿸<丆>⿱一丿口专
砚, ⿰<石>⿸<丆>⿱一丿口见
砰, ⿰<石>⿸<丆>⿱一丿口<平>⿻干丷
破, ⿰<石>⿸<丆>⿱一丿口皮
砸, ⿰<石>⿸<丆>⿱一丿口<匝>⿷匚巾
砾, ⿰<石>⿸<丆>⿱一丿口乐
础, ⿰<石>⿸<丆>⿱一丿口<出>⿱<屮>⿻凵丿凵
硅, ⿰<石>⿸<丆>⿱一丿口<圭>⿱土土
硕, ⿰<石>⿸<丆>⿱一丿口页
硝, ⿰<石>⿸<丆>⿱一丿口<肖>⿱⺌月
硫, ⿰<石>⿸<丆>⿱一丿口<㐬>⿳亠厶<CDP-8BED>⿻儿丨
硬, ⿰<石>⿸<丆>⿱一丿口更
确, ⿰<石>⿸<丆>⿱一丿口角
硼, ⿰<石>⿸<丆>⿱一丿口<朋>⿰月月
碉, ⿰<石>⿸<丆>⿱一丿口<周>⿵⺆<𠮷>⿱土口
碌, ⿰<石>⿸<丆>⿱一丿口<彔>⿱彑氺
碍, ⿰<石>⿸<丆>⿱一丿口<㝵>⿱<旦>⿱日一寸
碎, ⿰<石>⿸<丆>⿱一丿口<卒>⿱<𠅃>⿱亠<从>⿰人人十
碑, ⿰<石>⿸<丆>⿱一丿口<卑>⿱<甶>⿱丿田⿻丿十
碗, ⿰<石>⿸<丆>⿱一丿口<宛>⿱宀<夗>⿰<夕>⿴𠂊丶㔾
碘, ⿰<石>⿸<丆>⿱一丿口<典>⿱<CDP-89E0>;八
碟, ⿰<石>⿸<丆>⿱一丿口<枼>⿱世木
碧, ⿱<珀>⿰<王>⿱一土白<石>⿸<丆>⿱一丿口
碰, ⿰<石>⿸<丆>⿱一丿口<並>⿱䒑<CDP-8D6B>;
碱, ⿰<石>⿸<丆>⿱一丿口<咸>⿵<戌>⿵戊一口
碳, ⿰<石>⿸<丆>⿱一丿口<炭>⿱山<灰>⿸厂<火>⿱八人
碴, ⿰<石>⿸<丆>⿱一丿口<查>⿱木<旦>⿱日一
碾, ⿰<石>⿸<丆>⿱一丿口<展>⿸尸<CDP-8CE5>⿱龷<CDP-8CC6>⿰𠄌⿺乀丿
磁, ⿰<石>⿸<丆>⿱一丿口<兹>⿱䒑<𢆶>⿰幺幺
磅, ⿰<石>⿸<丆>⿱一丿口<旁>⿱<CDP-8BEC>⿱<CDP-8BAE>⿱亠丷冖方
磕, ⿰<石>⿸<丆>⿱一丿口<盍>⿱<去>⿱土厶皿
磨, ⿸<麻>⿸广<林>⿰木木<石>⿸<丆>⿱一丿口
磷, ⿰<石>⿸<丆>⿱一丿口<粦>⿱米舛
礁, ⿰<石>⿸<丆>⿱一丿口<焦>⿱隹灬
礼, ⿰礻乚
社, ⿰礻土
祈, ⿰示斤
祖, ⿰礻且
祝, ⿰礻<兄>⿱口儿
神, ⿰礻申
祟, ⿱<出>⿱<屮>⿻凵丿凵示
祠, ⿰示司
祥, ⿰礻羊
票, ⿱西示
祭, ⿱<CDP-8C4F>⿰<CDP-88F0>⿴𠂊冫<CDP-8C4E>;示
祷, ⿰礻<寿>⿸丰寸
祸, ⿰礻<呙>⿱口<内>⿻冂人
禀, ⿱<㐭>⿱亠<回>⿴囗口示
禁, ⿱<林>⿰木木示
福, ⿰礻<畐>⿱<𠮛>⿱一口田
离, ⿱<㐫>⿱亠<凶>⿶凵㐅<禸>⿻冂厶
禽, ⿱𠆢<离>⿱<㐫>⿱亠<凶>⿶凵㐅<禸>⿻冂厶
禾, ⿱丿木
秀, ⿱禾<乃>⿹𠄎丿
私, ⿰禾厶
秃, ⿱禾几
秆, ⿰禾干
秉, ⿻禾<CDP-8BAB>⿴<CDP-8C78>;一
秋, ⿰禾<火>⿱八人
种, ⿰禾<中>⿻口丨
科, ⿰禾斗
秒, ⿰禾<少>⿱小丿
秕, ⿰禾比
秘, ⿰禾<必>⿻心丿
租, ⿰禾且
秤, ⿰禾<平>⿻干丷
秦, ⿱<𡗗>⿻<三>⿳一一一人禾
秧, ⿰禾央
秩, ⿰禾<失>⿰丿夫
秫, ⿰禾<朮>⿺𣎳丶
积, ⿰禾<只>⿱口八
称, ⿰禾<尓>⿱𠂉小
秸, ⿰禾<吉>⿱<士>⿱十一口
移, ⿰禾<多>⿱<夕>⿴𠂊丶<夕>⿴𠂊丶
秽, ⿰禾<岁>⿱山<夕>⿴𠂊丶
稀, ⿰禾<希>⿱㐅<布>⿸𠂇巾
程, ⿰禾<呈>⿱口<王>⿱一土
稍, ⿰禾<肖>⿱⺌月
税, ⿰禾<兑>⿱丷<兄>⿱口儿
稚, ⿰禾隹
稠, ⿰禾<周>⿵⺆<𠮷>⿱土口
稳, ⿰禾<急>⿱<刍>⿱𠂊彐心
稻, ⿰禾<舀>⿱爫臼
稼, ⿰禾<家>⿱宀<豕>⿱一𧰨
稽, ⿰禾⿱<尤>⿺尢丶<旨>⿱匕日
稿, ⿰禾<高>⿳亠口冋
穆, ⿰禾<㣎>⿱<CDP-8BC4>⿱白小彡
穗, ⿰禾<惠>⿱<CDP-8BD0>;心
穴, ⿱宀八
究, ⿱<穴>⿱宀八九
穷, ⿱<穴>⿱宀八力
空, ⿱<穴>⿱宀八工
穿, ⿱<穴>⿱宀八牙
突, ⿱<穴>⿱宀八大
窃, ⿱<穴>⿱宀八<切>⿰<七>⿻<CDP-8DE4>;乚<刀>⿹𠃌丿
窄, ⿱<穴>⿱宀八乍
窍, ⿱<穴>⿱宀八<巧>⿰工<丂>⿱一㇉
窑, ⿱<穴>⿱宀八缶
窒, ⿱<穴>⿱宀八<至>⿱<𠫔>⿱一厶土
窖, ⿱<穴>⿱宀八<吿>⿱牛口
窗, ⿱<穴>⿱宀八<囱>⿱丿⿴囗夊
窘, ⿱<穴>⿱宀八<君>⿸尹口
窜, ⿱<穴>⿱宀八<串>⿻<吕>⿱口口丨
窝, ⿱<穴>⿱宀八<呙>⿱口<内>⿻冂人
窟, ⿱<穴>⿱宀八<屈>⿸尸<出>⿱<屮>⿻凵丿凵
窥, ⿱<穴>⿱宀八<规>⿰夫见
窿, ⿱<穴>⿱宀八<隆>⿰阝⿱夂生
立, ⿱<CDP-8BAE>⿱亠丷一
竖, ⿱⿰<〢>⿰丨丨又立
站, ⿰立<占>⿱⺊口
竞, ⿱立<兄>⿱口儿
竟, ⿱<音>⿱立日儿
章, ⿱立<早>⿱日十
竣, ⿰立<夋>⿱<允>⿱厶儿夂
童, ⿱立里
竭, ⿰立<曷>⿱日<匃>⿹勹<亾>⿺𠃊人
端, ⿰立<耑>⿱山而
竹, ⿰亇亇
竿, ⿱<竹>⿰亇亇干
笆, ⿱<竹>⿰亇亇巴
笋, ⿱<竹>⿰亇亇尹
笑, ⿱<竹>⿰亇亇夭
笔, ⿱<竹>⿰亇亇毛
笙, ⿱<竹>⿰亇亇生
笛, ⿱<竹>⿰亇亇由
笤, ⿱<竹>⿰亇亇<召>⿱<刀>⿹𠃌丿口
符, ⿱<竹>⿰亇亇<付>⿰亻寸
笨, ⿱<竹>⿰亇亇本
第, ⿱<竹>⿰亇亇<𢎨>⿹<弔>⿻弓丨丿
笼, ⿱<竹>⿰亇亇<龙>⿻<尤>⿺尢丶丿
等, ⿱<竹>⿰亇亇<寺>⿱土寸
筋, ⿱<竹>⿰亇亇肋
筏, ⿱<竹>⿰亇亇<伐>⿰亻戈
筐, ⿱<竹>⿰亇亇<匡>⿷匚<王>⿱一土
筑, ⿱<竹>⿰亇亇<巩>⿰工<卂>⿹⺄十
筒, ⿱<竹>⿰亇亇<同>⿵<𠔼>⿵冂一口
答, ⿱<竹>⿰亇亇<合>⿱<CDP-8AFC>⿵𠆢一口
策, ⿱<竹>⿰亇亇朿
筛, ⿱<竹>⿰亇亇师
筝, ⿱<竹>⿰亇亇争
筷, ⿱<竹>⿰亇亇<快>⿰忄<夬>⿻𠃍大
筹, ⿱<竹>⿰亇亇<寿>⿸丰寸
签, ⿱<竹>⿰亇亇佥
简, ⿱<竹>⿰亇亇<间>⿵门日
箍, ⿱<竹>⿰亇亇<㧜>⿰扌<匝>⿷匚巾
箕, ⿱<竹>⿰亇亇其
算, ⿱<竹>⿰亇亇<𥃲>⿱目廾
管, ⿱<竹>⿰亇亇<官>⿱宀㠯
箩, ⿱<竹>⿰亇亇<罗>⿱罒<夕>⿴𠂊丶
箫, ⿱<竹>⿰亇亇肃
箭, ⿱<竹>⿰亇亇<前>⿱䒑<刖>⿰月刂
箱, ⿱<竹>⿰亇亇<相>⿰木目
篇, ⿱<竹>⿰亇亇<扁>⿸户𠕁
篓, ⿱<竹>⿰亇亇<娄>⿱米女
篙, ⿱<竹>⿰亇亇<高>⿳亠口冋
篡, ⿳<𥬥>⿱<竹>⿰亇亇目大厶
篮, ⿱<竹>⿰亇亇<监>⿱⿰〢<个>⿱𠂉丶皿
篱, ⿱<竹>⿰亇亇<离>⿱<㐫>⿱亠<凶>⿶凵㐅<禸>⿻冂厶
篷, ⿱<竹>⿰亇亇<逢>⿺辶<夆>⿱夂丰
簇, ⿱<竹>⿰亇亇<族>⿰方<CDP-8CDB>⿱𠂉矢
簸, ⿱<竹>⿰亇亇<𤿺>⿰其皮
簿, ⿱<竹>⿰亇亇⿰氵⿱⿺<𤰔>⿻一由丶寸丶
籍, ⿱<竹>⿰亇亇<耤>⿰<耒>⿻丿未<昔>⿱龷日
类, ⿱米大
籽, ⿰米子
粉, ⿰米<分>⿱八<刀>⿹𠃌丿
粒, ⿰米立
粗, ⿰米且
粘, ⿰米<占>⿱⺊口
粟, ⿱西米
粤, ⿱⿱丿<𡇒>⿴囗米<丂>⿱一㇉
粥, ⿲弓米弓
粪, ⿱米<共>⿱龷八
粮, ⿰米<良>⿱丨艮
粱, ⿱<CDP-8DBC>⿰氵<刅>⿰刃丶米
粹, ⿰米<卒>⿱<𠅃>⿱亠<从>⿰人人十
精, ⿰米<青>⿱龶月
糊, ⿰米<胡>⿰<古>⿱十口月
糕, ⿰米<羔>⿱<𦍌>⿱䒑土灬
糖, ⿰米<唐>⿸广⿱<CDP-884D>⿻<CDP-8BAB>⿴<CDP-8C78>;一丨口
糙, ⿰米<造>⿺辶<告>⿱𠂒口
糜, ⿸<麻>⿸广<林>⿰木木米
糟, ⿰米<曹>⿱<CDP-8D61>⿻一曲日
糠, ⿰米<康>⿸广隶
糯, ⿰米<需>⿱雨而
系, ⿱丿<糸>⿱幺小
紊, ⿱文<糸>⿱幺小
素, ⿱龶<糸>⿱幺小
索, ⿱<CDP-8D52>⿱十冖<糸>⿱幺小
紧, ⿱⿰<〢>⿰丨丨又<糸>⿱幺小
紫, ⿱此<糸>⿱幺小
累, ⿱田<糸>⿱幺小
絮, ⿱<如>⿰女口<糸>⿱幺小
繁, ⿱<敏>⿰<毎>⿱𠂉毋攵<糸>⿱幺小
纠, ⿰纟丩
红, ⿰纟工
纤, ⿰纟<千>⿱丿十
约, ⿰纟<勺>⿹勹丶
级, ⿰纟及
纪, ⿰纟己
纫, ⿰纟刃
纬, ⿰纟韦
纯, ⿰纟<屯>⿻丿<𡳾>⿻凵乚
纱, ⿰纟<少>⿱小丿
纲, ⿰纟<冈>⿵冂㐅
纳, ⿰纟<内>⿻冂人
纵, ⿰纟<从>⿰人人
纷, ⿰纟<分>⿱八<刀>⿹𠃌丿
纸, ⿰纟氏
纹, ⿰纟文
纺, ⿰纟方
纽, ⿰纟丑
线, ⿰纟<戋>⿻戈一
练, ⿰纟<CDP-89BA>;
组, ⿰纟且
绅, ⿰纟申
细, ⿰纟田
织, ⿰纟<只>⿱口八
终, ⿰纟<冬>⿱夂<⺀>⿱丶丶
绊, ⿰纟<半>⿱丷<CDP-8BF1>⿻二丨
绍, ⿰纟<召>⿱<刀>⿹𠃌丿口
绎, ⿰纟<𠬤>⿱又<CDP-8BF1>⿻二丨
经, ⿰纟𢀖
绑, ⿰纟<邦>⿰丰阝
绒, ⿰纟<戎>⿹戈𠂇
结, ⿰纟<吉>⿱<士>⿱十一口
绕, ⿰纟尧兀
绘, ⿰纟<会>⿱𠆢<云>⿱二厶
给, ⿰纟<合>⿱<CDP-8AFC>⿵𠆢一口
络, ⿰纟<各>⿱夂口
绝, ⿰纟<色>⿱𠂊巴
绞, ⿰纟交
统, ⿰纟<充>⿱<𠫓>⿱亠厶儿
绢, ⿰纟肙
绣, ⿰纟<秀>⿱禾<乃>⿹𠄎丿
继, ⿰纟⿺𠃊米
绩, ⿰纟<责>⿱龶贝
绪, ⿰纟<者>⿸耂日
续, ⿰纟<卖>⿱十<买>⿱乛头
绰, ⿰纟<卓>⿱⺊<早>⿱日十
绳, ⿰纟<黾>⿱口<电>⿻日乚
维, ⿰纟隹
绵, ⿰纟<帛>⿱白巾
绷, ⿰纟<朋>⿰月月
绸, ⿰纟<周>⿵⺆<𠮷>⿱土口
综, ⿰纟<宗>⿱宀示
绽, ⿰纟<定>⿱宀<𤴓>⿱一龰
绿, ⿰纟<录>⿱彐氺
缀, ⿰纟<叕>⿱<双>⿰又又<双>⿰又又
缅, ⿰纟面
缆, ⿰纟<览>⿱⿰〢<个>⿱𠂉丶见
缎, ⿰纟<段>⿰<CDP-8CE4>;<殳>⿱几又
缓, ⿰纟<爰>⿳爫一<友>⿸𠂇又
缔, ⿰纟帝
缕, ⿰纟<娄>⿱米女
编, ⿰纟<扁>⿸户𠕁
缘, ⿰纟<彖>⿱彑𧰨
缚, ⿰纟<尃>⿱甫寸
缝, ⿰纟<逢>⿺辶<夆>⿱夂丰
缠, ⿰纟<㢆>⿸广里
缤, ⿰纟<宾>⿱宀<兵>⿱丘八
缨, ⿰纟<婴>⿱⿰贝贝女
缩, ⿰纟<宿>⿱宀<佰>⿰亻<百>⿱一白
缭, ⿰纟尞
缰, ⿰纟<畺>⿳⿱一田⿱一田一
缴, ⿰纟<敫>⿰<CDP-8CE0>⿱白方攵
缸, ⿰缶工
缺, ⿰缶<夬>⿻𠃍大
罐, ⿰缶<雚>⿱卝<𨾴>⿱<吅>⿰口口隹
网, ⿵冂⿰㐅㐅
罕, ⿱<⺳>⿱冖八干
罗, ⿱罒<夕>⿴𠂊丶
罚, ⿱罒⿰讠刂
罢, ⿱罒<去>⿱土厶
罩, ⿱罒<卓>⿱⺊<早>⿱日十
罪, ⿱罒非
置, ⿱罒<直>⿱十⿺𠃊目
署, ⿱罒<者>⿸耂日
羊, ⿱䒑<CDP-8BF1>⿻二丨
美, ⿱<𦍌>⿱䒑土大
羔, ⿱<𦍌>⿱䒑土灬
羞, ⿸<CDP-8CCC>⿱<𦍌>⿱䒑土丿丑
羡, ⿱<𦍌>⿱䒑土<次>⿰冫欠
群, ⿰<君>⿸尹口羊
羹, ⿱<羔>⿱<𦍌>⿱䒑土灬<美>⿱<𦍌>⿱䒑土大
羽, ⿰习习
翁, ⿱<公>⿱八厶<羽>⿰习习
翅, ⿺<支>⿱十又<羽>⿰习习
翎, ⿰令<羽>⿰习习
翔, ⿰羊<羽>⿰习习
翘, ⿺尧兀<羽>⿰习习
翠, ⿱<羽>⿰习习<卒>⿱<𠅃>⿱亠<从>⿰人人十
翩, ⿰<扁>⿸户𠕁<羽>⿰习习
翰, ⿰<𠦝>⿱十<早>⿱日十⿱𠆢<羽>⿰习习
翻, ⿰<番>⿱<釆>⿱丿米田<羽>⿰习习
翼, ⿱<羽>⿰习习<異>⿱田<共>⿱龷八
耀, ⿰<光>⿳⺌一儿<翟>⿱<羽>⿰习习隹
老, ⿸耂匕
考, ⿱耂<丂>⿱一㇉
者, ⿸耂日
而, ⿱一<𦓐>⿱丿<𦉫>⿵冂⿰丨丨
耍, ⿱而女
耐, ⿰而寸
耕, ⿰<耒>⿻丿未井
耗, ⿰<耒>⿻丿未毛
耘, ⿰<耒>⿻丿未<云>⿱二厶
耙, ⿰<耒>⿻丿未巴
耸, ⿱<从>⿰人人耳
耻, ⿰耳止
耽, ⿰耳冘
耿, ⿰耳<火>⿱八人
聂, ⿱耳<双>⿰又又
聊, ⿰耳<卯>⿰𠂎卩
聋, ⿱<龙>⿻<尤>⿺尢丶丿耳
职, ⿰耳<只>⿱口八
联, ⿰耳关
聘, ⿰耳<甹>⿱由<丂>⿱一㇉
聚, ⿱<取>⿸耳又乑
聪, ⿰耳<总>⿱<𠮦>⿱丷口心
肄, ⿰<𠤕>⿱匕矢聿
肆, ⿰镸聿
肖, ⿱⺌月
肘, ⿰月寸
肚, ⿰月土
肛, ⿰月工
肝, ⿰月干
肠, ⿰月𠃓
股, ⿰月<殳>⿱几又
肢, ⿰月<支>⿱十又
肥, ⿰月巴
肩, ⿸户月
肪, ⿰月方
肯, ⿱止月
育, ⿱<𠫓>⿱亠厶月
肴, ⿱㐅<有>⿸𠂇月
肺, ⿰月<市>⿱亠巾
肾, ⿱⿰<〢>⿰丨丨又月
肿, ⿰月<中>⿻口丨
胀, ⿰月长
胁, ⿰月<办>⿻力八
胃, ⿱田月
胆, ⿰月<旦>⿱日一
背, ⿱<北>⿰<CDP-8BC5>;匕月
胎, ⿰月<台>⿱厶口
胖, ⿰月<半>⿱丷<CDP-8BF1>⿻二丨
胚, ⿰月<丕>⿱<不>⿱一<CDP-8665>;一
胞, ⿰月包
胡, ⿰<古>⿱十口月
胧, ⿰月<龙>⿻<尤>⿺尢丶丿
胯, ⿰月<夸>⿱大亏
胰, ⿰月<夷>⿻大弓
胳, ⿰月<各>⿱夂口
胶, ⿰月交
胸, ⿰月<匈>⿹勹<凶>⿶凵㐅
能, ⿰䏍⿱匕匕
脂, ⿰月<旨>⿱匕日
脆, ⿰月<危>⿸<厃>⿱𠂊厂㔾
脉, ⿰月永
脊, ⿱<CDP-88D2>⿻人<CDP-89AE>⿱丷八月
脏, ⿰月<庄>⿸广土
脐, ⿰月<齐>⿱文<CDP-8BF5>⿰丿丨
脑, ⿰月<㐫>⿱亠<凶>⿶凵㐅
脓, ⿰月<农>⿻冖𧘇
脖, ⿰月<孛>⿱<CDP-8D52>⿱十冖子
脚, ⿰月<却>⿰<去>⿱土厶卩
脯, ⿰月甫
脱, ⿰月<兑>⿱丷<兄>⿱口儿
脸, ⿰月佥
脾, ⿰月<卑>⿱<甶>⿱丿田⿻丿十
腊, ⿰月<昔>⿱龷日
腋, ⿰月<夜>⿱亠⿰亻<CDP-89F3>⿴夂丶
腌, ⿰月<奄>⿱大<电>⿻日乚
腐, ⿸<府>⿸广<付>⿰亻寸肉
腔, ⿰月<空>⿱<穴>⿱宀八工
腕, ⿰月<宛>⿱宀<夗>⿰<夕>⿴𠂊丶㔾
腥, ⿰月<星>⿱日生
腮, ⿰月<思>⿱田心
腰, ⿰月<要>⿱西女
腹, ⿰月复
腺, ⿰月<泉>⿱白水
腻, ⿰月<贰>⿹弋⿱二贝
腾, ⿰月⿱<龹>⿱丷夫马
腿, ⿰月<退>⿺辶艮
膀, ⿰月<旁>⿱<CDP-8BEC>⿱<CDP-8BAE>⿱亠丷冖方
膊, ⿰月<尃>⿱甫寸
膏, ⿱<高>⿳亠口冋月
膘, ⿰月<票>⿱西示
膛, ⿰月<堂>⿳<龸>⿱⺌冖口土
膜, ⿰月<莫>⿱艹<旲>⿱日大
膝, ⿰月<桼>⿱木<CDP-8D71>⿱𠆢氺
膨, ⿰月<彭>⿰<壴>⿱十豆彡
膳, ⿰月<善>⿱⿱羊䒑口
臀, ⿱<殿>⿰<𡱒>⿸尸<共>⿱龷八<殳>⿱几又月
臂, ⿱<辟>⿰𡰪<辛>⿱立十月
臊, ⿰月<喿>⿱<品>⿱口<吅>⿰口口木
臭, ⿱自大
至, ⿱<𠫔>⿱一厶土
致, ⿰<至>⿱<𠫔>⿱一厶土攵
舀, ⿱爫臼
舅, ⿱臼<男>⿱田力
舆, ⿳⿴<𦥑>⿰<CDP-8CAC>;<⺕>⿴<CDP-8C78>;一车一八
舌, ⿱<千>⿱丿十口
舍, ⿱𠆢舌
舒, ⿰<舍>⿱𠆢舌<予>⿱龴<𠄐>⿱乛亅
舔, ⿰舌<忝>⿱夭<㣺>⿰小丶
舞, ⿱<CDP-8BBE>⿳𠂉卌一舛
航, ⿰舟<亢>⿱亠几
般, ⿰舟<殳>⿱几又
舰, ⿰舟见
舱, ⿰舟<仓>⿱𠆢㔾
舵, ⿰舟<它>⿱宀匕
舶, ⿰舟白
舷, ⿰舟<玄>⿱亠幺
船, ⿰舟<㕣>⿱八口
艇, ⿰舟<廷>⿺廴壬
艘, ⿰舟<叟>⿱<CDP-884F>⿻臼丨又
良, ⿱丨艮
艰, ⿰又艮
色, ⿱𠂊巴
艳, ⿰丰<色>⿱𠂊巴
艺, ⿱艹乙
艾, ⿱艹<乂>⿻丿乀
节, ⿱艹<CDP-8A60>⿱𠃌丨
芋, ⿱艹于
芍, ⿱艹<勺>⿹勹丶
芒, ⿱艹<亡>⿱亠𠃊
芙, ⿱艹夫
芜, ⿱艹<无>⿱一尢
芝, ⿱艹<之>⿱丿<CDP-8661>;
芥, ⿱艹<介>⿱𠆢<CDP-8BF5>⿰丿丨
芦, ⿱艹户
芬, ⿱艹<分>⿱八<刀>⿹𠃌丿
芭, ⿱艹巴
芯, ⿱艹心
花, ⿱艹<化>⿰亻匕
芳, ⿱艹方
芹, ⿱艹斤
芽, ⿱艹牙
苇, ⿱艹韦
苍, ⿱艹<仓>⿱𠆢㔾
苏, ⿱艹<办>⿻力八
苔, ⿱艹<台>⿱厶口
苗, ⿱艹田
苛, ⿱艹可
苞, ⿱艹包
苟, ⿱艹<句>⿹勹口
若, ⿱艹<右>⿸𠂇口
苦, ⿱艹<古>⿱十口
苫, ⿱艹<占>⿱⺊口
英, ⿱艹央
苹, ⿱艹<平>⿻干丷
茁, ⿱艹<出>⿱<屮>⿻凵丿凵
茂, ⿱艹戊
范, ⿱艹<氾>⿰氵㔾
茄, ⿱艹<加>⿰力口
茅, ⿱艹矛
茉, ⿱艹末
茎, ⿱艹<圣>⿱又土
茧, ⿱艹虫
茫, ⿱艹<汒>⿰氵<亡>⿱亠𠃊
茬, ⿱艹<在>⿸<CDP-88F1>;土
茴, ⿱艹<回>⿴囗口
茵, ⿱艹<因>⿴囗大
茶, ⿳艹𠆢朩
茸, ⿱艹耳
草, ⿱艹<早>⿱日十
荐, ⿱艹<存>⿸<CDP-88F1>;子
荒, ⿱艹<巟>⿱<亡>⿱亠𠃊<CDP-8BED>⿻儿丨
荔, ⿱艹<劦>⿱力<𠠴>⿰力力
荚, ⿱艹<夹>⿻夫丷
荞, ⿱艹<乔>⿱夭<CDP-8BF5>⿰丿丨
荠, ⿱艹<齐>⿱文<CDP-8BF5>⿰丿丨
荡, ⿱艹<汤>⿰氵𠃓
荣, ⿱艹<𣎾>⿱冖木
荤, ⿱艹<军>⿱冖车
荧, ⿱<𫇦>⿱艹冖<火>⿱八人
药, ⿱艹<约>⿰纟<勺>⿹勹丶
荷, ⿱艹<何>⿰亻可
荸, ⿱艹<孛>⿱<CDP-8D52>⿱十冖子
莉, ⿱艹<利>⿰禾刂
莫, ⿱艹<旲>⿱日大
莱, ⿱艹来
莲, ⿱艹<连>⿺辶车
获, ⿱艹<犾>⿰犭犬
莹, ⿳艹冖玉
莺, ⿳艹冖鸟
莽, ⿳艹犬廾
菇, ⿱艹<姑>⿰女<古>⿱十口
菊, ⿱艹<匊>⿹勹米
菌, ⿱艹<囷>⿴囗禾
菜, ⿱艹<采>⿱爫木
菠, ⿱艹<波>⿰氵皮
菩, ⿱艹<咅>⿱立口
菱, ⿱艹<夌>⿱<圥>⿱土儿夂
菲, ⿱艹非
萄, ⿱艹<匋>⿹勹缶
萌, ⿱艹<明>⿰日月
萍, ⿱艹<泙>⿰氵<平>⿻干丷
萎, ⿱艹<委>⿱禾女
萝, ⿱艹<罗>⿱罒<夕>⿴𠂊丶
萤, ⿱<𫇦>⿱艹冖虫
营, ⿱<𫇦>⿱艹冖<吕>⿱口口
萧, ⿱艹肃
萨, ⿱艹⿰阝产
落, ⿱艹<洛>⿰氵<各>⿱夂口
著, ⿱艹<者>⿸耂日
葛, ⿱艹⿱日<匂>⿹勹匕
葡, ⿱艹<匍>⿹勹甫
董, ⿱艹重
葫, ⿱艹<胡>⿰<古>⿱十口月
葬, ⿳艹<死>⿸<歹>⿱一<夕>⿴𠂊丶匕廾
葱, ⿱艹<怱>⿱<匆>⿻勿丶心
葵, ⿱艹<癸>⿱癶<天>⿱一大
蒂, ⿱艹帝
蒋, ⿱艹<将>⿰丬<寽>⿱爫寸
蒙, ⿱艹<冡>⿳冖一<豕>⿱一𧰨
蒜, ⿱艹<祘>⿰示示
蒲, ⿱艹<浦>⿰氵甫
蒸, ⿱艹<烝>⿱<丞>⿱<氶>⿱⺂水一灬
蒿, ⿱艹<高>⿳亠口冋
蓄, ⿱艹<畜>⿱<玄>⿱亠幺田
蓉, ⿱艹<容>⿱宀谷
蓖, ⿱艹<𣬉>⿱<囟>⿱丿<龱>⿴囗㐅比
蓝, ⿱艹<监>⿱⿰〢<个>⿱𠂉丶皿
蓬, ⿱艹<逢>⿺辶<夆>⿱夂丰
蔑, ⿱<𦭝>⿱艹罒<戍>⿵戊丶
蔓, ⿱艹<曼>⿳日罒又
