怀 zuodian-dian-shu-heng-pie-shu-dian
楔 heng-shu-pie-dian-heng-heng-ti-shu-hengzhegou-pie-heng-pie-na
癖 dian-heng-shupie-dian-ti-hengzhe-heng-shupie-shu-hengzhe-heng-dian-heng-dian-pie-heng-heng-shu
務 hengpie-dian-henggou-shugou-pie-pie-heng-pie-na-hengzhegou-pie
做 pie-shu-heng-shu-shu-hengzhe-heng-pie-heng-pie-na
痤 dian-heng-shupie-dian-ti-pie-dian-pie-dian-heng-shu-heng
杠 heng-shu-pie-dian-heng-shu-heng
揣 pingpie-shugou-ti-shu-shuzhe-shu-heng-pie-shu-hengzhegou-shu-shu
渺 dian-dian-ti-shu-hengzhe-heng-heng-heng-shu-zuodian-dian-pie
书 hengzhe-hengzhegou-shu-dian
歨 shu-heng-shu-heng-shu-heng-pie-na
哭 shu-hengzhe-heng-shu-hengzhe-heng-heng-pie-na-dian
啬 heng-shu-dian-pie-heng-shu-hengzhe-shu-hengzhe-heng-heng
凯 shu-shuzhe-shu-hengzhe-heng-shuti-shupie-hengzhewangou
剮 shu-hengzhe-shu-heng-shu-hengzhegou-shu-hengzhe-heng-shu-shugou
彰 dian-heng-dian-pie-heng-shu-hengzhe-heng-heng-heng-shu-pie-pie-pie
奴 piedian-pie-heng-hengpie-na
旷 shu-hengzhe-heng-heng-dian-heng-shupie
晶 shu-hengzhe-heng-heng-shu-hengzhe-heng-heng-shu-hengzhe-heng-heng
焕 dian-pie-shupie-dian-pie-hengpie-shu-hengzhe-heng-shupie-na
恺 zuodian-dian-shu-shu-shuzhe-shu-hengzhe-heng-shuwangou
泽 dian-dian-ti-hengpie-na-heng-heng-shu
浼 dian-dian-ti-pie-hengpie-shu-hengzhe-heng-pie-shuwangou
槿 heng-shu-pie-dian-heng-shu-shu-heng-shu-hengzhe-heng-heng-heng-shu-heng
橾 heng-shu-pie-dian-shu-hengzhe-heng-shu-hengzhe-heng-shu-hengzhe-heng-heng-shu-pie-na
嘁 shu-hengzhe-heng-heng-shupie-shu-heng-heng-shugou-zuodian-dian-xiegou-pie-dian
瞀 hengpie-dian-henggou-shugou-pie-pie-heng-pie-na-shu-hengzhegou-heng-heng-heng
猃 pie-wangou-pie-pie-na-heng-dian-dian-pie-heng
咂 shu-hengzhe-heng-heng-shu-hengzhegou-shu-shuzhe
熄 zuodian-pie-shupie-dian-pie-shu-hengzhe-heng-heng-heng-zuodian-wogou-dian-dian
崇 shu-shuzhe-shu-dian-zuodian-henggou-heng-heng-shugou-zuodian-dian
庆 dian-heng-shupie-heng-pie-na
娉 piedian-pie-heng-shu-hengzhe-heng-shu-heng-heng-shuzhezhegou
守 dian-zuodian-henggou-heng-shugou-dian
朋 shupie-hengzhegou-heng-heng-shupie-hengzhegou-heng-heng
墊 heng-shu-heng-dian-pie-heng-heng-shu-shupie-hengzhexiegou-dian-heng-shu-heng
損 heng-shugou-ti-shu-hengzhe-heng-shu-hengzhe-heng-heng-heng-pie-dian
斌 dian-heng-pie-dian-heng-heng-shu-heng-shu-ti-xiegou-dian
意 dian-heng-dian-pie-heng-shu-hengzhe-heng-heng-zuodian-wogou-dian-dian
丑 hengzhe-shu-heng-heng
沒 dian-dian-ti-pie-hengzhegou-hengpie-na
榔 heng-shu-pie-dian-dian-hengzhe-heng-heng-shuti-dian-hengpiewangou-shu
皖 pie-shu-hengzhegou-heng-heng-dian-zuodian-henggou-heng-heng-pie-shuwangou
则 shu-hengzhe-shupie-dian-shu-shugou
厘 heng-shupie-shu-hengzhegou-heng-heng-shu-heng-heng
弛 hengpie-heng-shuzhezhegou-hengzhegou-shu-shuwangou
傚 pie-shu-dian-heng-pie-dian-pie-dian-pie-heng-pie-na
尝 shu-dian-pie-zuodian-henggou-heng-heng-piezhe-dian
瘛 dian-heng-shupie-dian-ti-heng-heng-heng-shu-hengzhegou-pie-zuodian-wogou-dian-dian
够 pie-hengzhegou-shu-hengzhe-heng-pie-hengpie-dian-pie-hengpie-dian
挣 heng-shugou-pie-pie-hengpie-hengzhe-heng-heng-shugou
急 pie-hengpie-hengzhe-heng-heng-zuodian-wogou-dian-dian
憤 zuodian-dian-shu-heng-shu-heng-shu-pie-shu-hengzhe-heng-heng-heng-pie-dian
洧 dian-dian-ti-heng-pie-shu-hengzhegou-heng-heng
亦 dian-heng-shupie-shugou-zuodian-dian
當 shu-dian-pie-zuodian-henggou-shu-hengzhe-heng-shu-hengzhe-heng-shu-heng
睪 shu-hengzhe-shu-shu-heng-heng-shu-heng-dian-pie-heng-heng-shu
吭 shu-hengzhe-heng-dian-heng-pie-hengzhewangou
喬 pingpie-heng-pie-na-shu-hengzhe-heng-shu-hengzhegou-shu-hengzhe-heng
焯 zuodian-pie-shupie-dian-shu-heng-shu-hengzhe-heng-heng-heng-shu
犮 heng-shupie-pie-na-dian
帱 shu-hengzhegou-shu-heng-heng-heng-shupie-heng-shugou-dian
堵 heng-shu-ti-heng-shu-heng-pie-shu-hengzhe-heng-heng
瀟 dian-dian-ti-shu-heng-pie-heng-hengzhe-heng-heng-shu-shupie-shu-shu-heng-shuzhe-heng-hengzhe-heng-shu
畈 shu-hengzhe-heng-shu-heng-pingpie-shupie-pie-na
掸 heng-shugou-ti-dian-pie-shu-hengzhe-heng-heng-heng-shu
氽 pie-na-shugou-hengpie-pie-na
涼 dian-dian-ti-dian-heng-shu-hengzhe-heng-shugou-zuodian-dian
旆 dian-heng-hengzhegou-pie-pie-heng-heng-shu-hengzhe-shu
噁 shu-hengzhe-heng-heng-shu-heng-shuzhezhe-shuzhezhe-heng-shu-heng-zuodian-wogou-dian-dian
千 pingpie-heng-shu
哂 shu-hengzhe-heng-heng-shu-hengzhe-shupie-shuwan-heng
凄 dian-ti-heng-hengzhe-heng-heng-shu-piedian-pie-heng
嵇 pingpie-heng-shu-pie-dian-heng-shupie-shuwangou-dian-shu-shuzhe-shu
婉 piedian-pie-heng-dian-zuodian-henggou-pie-hengpie-dian-hengzhegou-shuwangou
旌 dian-heng-hengzhegou-pie-pie-heng-pie-heng-heng-shu-heng
拎 heng-shugou-ti-pie-na-dian-hengpie-dian
乑 pingpie-shu-pie-pie-pie-na
俐 pie-shu-pingpie-heng-shu-pie-dian-shu-shugou
桕 heng-shu-pie-dian-pie-shu-heng-hengzhe-heng-heng
槔 heng-shu-pie-dian-pie-shu-hengzhegou-heng-heng-heng-pie-na-heng-shu
盖 dian-pie-heng-heng-heng-shu-shu-hengzhe-shu-shu-heng
炭 shu-shuzhe-shu-heng-pie-dian-pie-pie-na
变 dian-heng-shu-shu-zuodian-dian-hengpie-na
僚 pie-shu-heng-pie-na-dian-pie-shu-hengzhe-heng-heng-shugou-zuodian-dian
晡 shu-hengzhegou-heng-heng-heng-shu-hengzhegou-heng-heng-shu-dian
柠 heng-shu-pie-dian-dian-zuodian-henggou-heng-shugou
捣 heng-shugou-ti-pie-hengzhegou-dian-shuzhezhegou-shu-shuzhe-shu
擢 heng-shugou-ti-hengzhe-dian-ti-hengzhe-dian-ti-pie-shu-dian-heng-heng-heng-shu-heng
恥 heng-shu-shu-heng-heng-ti-zuodian-wogou-dian-dian
滦 dian-dian-ti-dian-heng-shu-shu-zuodian-dian-heng-shu-pie-na
坫 heng-shu-ti-shu-heng-shu-hengzhe-heng
瑭 heng-heng-shu-ti-dian-heng-shupie-hengzhe-heng-heng-shu-shu-hengzhe-heng
嗬 shu-hengzhe-heng-heng-shu-pie-pie-shu-heng-shu-hengzhe-heng-shugou
猛 pie-wangou-pie-hengpie-shugou-heng-shu-hengzhe-shu-shu-heng
狮 pie-wangou-pie-shu-shupie-heng-shu-hengzhegou-shu
孳 dian-pie-heng-piezhe-piezhe-dian-piezhe-piezhe-dian-henggou-shugou-heng
塵 dian-heng-shupie-hengzhe-shu-shu-heng-heng-shuti-pingpie-shuwangou-heng-shu-heng
敷 heng-shu-hengzhe-heng-heng-shu-dian-dian-heng-hengzhegou-pie-pie-heng-pie-na
批 heng-shugou-ti-heng-shuti-pie-shuwangou
揸 heng-shugou-ti-heng-shu-pie-na-shu-hengzhegou-heng-heng-heng
佻 pie-shu-shupie-dian-ti-shuwangou-pie-dian
惺 zuodian-dian-shu-shu-hengzhe-heng-heng-pie-heng-heng-shu-heng
汽 dian-dian-ti-pie-heng-heng-hengzhewangou
淼 shugou-hengpie-pie-na-shugou-hengpie-pie-dian-shugou-hengpie-pie-na
妁 piedian-pie-heng-pie-hengzhegou-dian
堀 heng-shu-ti-hengzhe-heng-shupie-shuzhe-shu-shu-shuzhe-shu
待 pie-pie-shu-heng-shu-heng-heng-shugou-dian
劇 shu-heng-henggou-shupie-heng-shuwangou-heng-pie-wangou-pie-pie-pie-dian-shu-shugou
儆 pie-shu-heng-shu-shu-pie-hengzhegou-shu-hengzhe-heng-pie-heng-pie-na
喉 shu-hengzhe-heng-pie-shu-hengzhe-heng-pie-heng-heng-pie-na
合 pie-na-heng-shu-hengzhe-heng
圊 shu-hengzhegou-heng-heng-shu-heng-shu-hengzhegou-heng-heng-heng
殍 heng-pie-hengpie-dian-pingpie-dian-dian-pie-hengpie-shugou-heng
亏 heng-heng-shuzhezhegou
洎 dian-dian-ti-pie-shu-hengzhegou-heng-heng-heng
憑 dian-ti-heng-shu-heng-heng-shu-hengzhegou-dian-dian-dian-dian-zuodian-wogou-dian-dian
瑷 heng-heng-shu-ti-pingpie-dian-dian-pie-zuodian-henggou-heng-pie-hengpie-na
撓 heng-shugou-pie-heng-shu-heng-heng-shu-ti-heng-shu-heng-heng-pie-shuwangou
枕 heng-shu-pie-dian-zuodian-henggou-shupie-shuwangou
堯 heng-shu-heng-heng-shu-ti-heng-shu-heng-heng-pie-shuwangou
潜 dian-dian-ti-heng-heng-shupie-dian-heng-heng-pie-na-shu-hengzhegou-heng-heng
外 pie-hengpie-dian-shu-dian
嶙 shu-shuzhe-shu-dian-pie-heng-shu-pie-na-pie-hengpie-dian-heng-shuzhe-shu
尘 shu-zuodian-dian-heng-shu-heng
渴 dian-dian-ti-shu-hengzhe-heng-heng-pie-hengzhegou-pie-dian-shuzhe
厝 heng-shupie-heng-shu-shu-heng-shu-hengzhegou-heng-heng
盛 heng-shupie-hengzhegou-xiegou-pie-dian-shu-hengzhe-shu-shu-heng
沣 dian-dian-ti-heng-heng-heng-shu
欢 hengpie-dian-pie-henggou-pie-na
侥 pie-shu-heng-xiegou-pie-heng-pie-shuwangou
两 heng-shu-hengzhegou-shupie-dian-shupie-dian
愦 zuodian-dian-shu-shu-hengzhe-heng-shu-heng-shu-hengzhe-shupie-dian
斩 heng-piezhe-shu-ti-pie-shupie-heng-shu
未 heng-heng-shu-pie-na
瘌 dian-heng-shupie-dian-ti-heng-shu-hengzhe-heng-shu-pie-dian-shu-shugou
崮 shu-shuzhe-shu-shu-hengzhegou-heng-shu-shu-hengzhe-heng-heng
冱 dian-ti-heng-piezhe-hengzhe-heng
瀰 dian-dian-ti-hengzhe-heng-shuzhezhegou-heng-pie-dian-shu-hengzhegou-shu-pie-dian-pie-dian-pie-dian-pie-dian
咳 shu-hengzhe-heng-dian-heng-piezhe-pie-pie-dian
猲 pie-wangou-pie-shu-hengzhegou-heng-heng-pie-hengzhegou-pie-dian-shuzhe
瞵 shu-hengzhe-heng-heng-heng-dian-pie-heng-shu-pie-na-pie-hengpie-dian-heng-shuzhe-shu
嘴 shu-hengzhe-heng-shu-heng-shu-ti-pie-shuwangou-pie-hengpie-shupie-hengzhegou-heng-heng-shu
永 dian-hengzhegou-hengpie-pie-na
悻 zuodian-dian-shu-heng-shu-heng-dian-zuodian-heng-heng-shu
伺 pie-shu-hengzhegou-heng-shu-hengzhe-heng
璋 heng-heng-shu-ti-dian-heng-dian-pie-heng-shu-hengzhe-heng-heng-heng-shu
放 dian-heng-hengzhegou-pie-pie-heng-pie-na
必 zuodian-wogou-dian-pie-dian
幄 shu-hengzhegou-shu-hengzhe-heng-shupie-heng-piezhe-dian-heng-shu-heng
勇 henggou-dian-shu-hengzhe-heng-heng-shu-hengzhegou-pie
兆 shupie-dian-ti-shuwangou-pie-dian
嗉 shu-hengzhe-heng-heng-heng-shu-heng-piezhe-piezhe-dian-shugou-zuodian-dian
呈 shu-hengzhe-heng-heng-heng-shu-heng
棋 heng-shu-pie-dian-heng-shu-shu-heng-heng-heng-pie-dian
坊 heng-shu-ti-dian-heng-hengzhegou-pie
母 shuzhe-hengzhegou-dian-heng-dian
滏 dian-dian-ti-pie-dian-pie-na-heng-heng-shu-dian-pie-heng
济 dian-dian-ti-dian-heng-pie-na-pie-shu
懑 dian-dian-ti-heng-shu-pie-heng-shu-hengzhegou-pie-dian-pie-dian-zuodian-wogou-dian-dian
恐 heng-shu-ti-shupie-hengzhegou-dian-zuodian-wogou-dian-dian
瞅 shu-hengzhe-heng-heng-heng-pingpie-heng-shu-pie-dian-dian-pie-shupie-na
晔 shu-hengzhegou-heng-heng-pie-shu-pie-shuwangou-heng-shu
嫗 piedian-pie-heng-heng-shu-hengzhe-heng-shu-hengzhe-heng-shu-hengzhe-heng-shuzhe
奖 dian-ti-shu-pie-hengpie-dian-heng-pie-na
滥 dian-dian-ti-shu-shu-pie-heng-dian-shu-hengzhe-shu-shu-heng
烛 zuodian-pie-shupie-dian-shu-hengzhe-heng-shu-ti-dian
剜 dian-zuodian-henggou-pie-hengpie-dian-hengzhegou-shuti-shu-shugou
囟 pie-shu-hengzhegou-pie-dian-heng
啞 shu-hengzhe-heng-heng-shu-heng-shuzhezhe-shuzhezhe-heng-shu-heng
桠 heng-shu-pie-dian-heng-shu-shu-dian-pie-heng
泣 dian-dian-ti-dian-heng-dian-pie-heng
止 shu-heng-shu-heng
拧 heng-shugou-ti-dian-zuodian-henggou-heng-shugou
早 shu-hengzhe-heng-heng-heng-shu
濉 dian-dian-ti-shu-hengzhe-heng-heng-heng-pie-shu-dian-heng-heng-heng-shu-heng
士 heng-shu-heng
杪 heng-shu-pie-dian-shu-zuodian-dian-pie
㒼 heng-shu-shu-heng-shu-hengzhegou-shu-pie-dian-pie-dian
凱 shu-shuzhe-shu-heng-shu-hengzhe-heng-dian-pie-ti-shupie-hengzhexiegou
灰 heng-pie-dian-pie-pie-na
哳 shu-hengzhe-heng-heng-shugou-ti-pie-shupie-heng-shu
獲 pie-wangou-pie-shu-heng-pie-heng-pie-shu-dian-heng-heng-heng-shu-heng-hengpie-na
埵 heng-shu-ti-pingpie-heng-shu-heng-shu-pie-heng-heng
噴 shu-hengzhe-heng-heng-shu-heng-shu-pie-shu-hengzhe-heng-heng-heng-pie-dian
淹 dian-dian-ti-heng-pie-na-shu-hengzhe-heng-heng-shuwangou
惻 zuodian-dian-shu-shu-hengzhe-heng-heng-heng-pie-dian-shu-shugou
潺 dian-dian-ti-hengzhe-heng-shupie-hengpie-shugou-heng-hengpie-shugou-ti-hengpie-shugou-heng
揽 heng-shugou-ti-shu-shu-pie-heng-dian-shu-hengzhe-pie-shuwangou
扼 heng-shugou-ti-heng-shupie-hengzhegou-shuwangou
替 heng-heng-shupie-dian-heng-heng-shupie-na-shu-hengzhegou-heng-heng
墀 heng-shu-ti-hengzhe-heng-shupie-shu-dian-ti-pie-dian-pie-heng-heng-shu
尃 heng-shu-hengzhe-heng-heng-shu-dian-heng-shugou-dian
庄 dian-heng-shupie-heng-shu-heng
切 heng-shuti-hengzhegou-pie
円 shu-hengzhegou-shu-heng
唉 shu-hengzhe-heng-piezhe-dian-pie-heng-heng-pie-na
栋 heng-shu-pie-dian-heng-piezhe-shugou-zuodian-dian
丏 heng-shu-shuzhe-hengzhegou
涎 dian-dian-ti-pie-shu-heng-shuzhe-hengzhezhepie-pingna
熙 heng-shu-shu-hengzhe-heng-shu-shuzhe-hengzhe-heng-shuwangou-zuodian-dian-dian-dian
搓 heng-shugou-ti-dian-pie-heng-heng-heng-pie-heng-shu-heng
排 heng-shugou-ti-shu-heng-heng-ti-shu-heng-heng-heng
朕 shupie-hengzhegou-heng-heng-dian-pie-heng-heng-pie-na
濯 dian-dian-ti-hengzhe-dian-ti-hengzhe-dian-ti-pie-shu-dian-heng-heng-heng-shu-heng
妖 piedian-pie-heng-pingpie-heng-shupie-na
崙 shu-shuzhe-shu-pie-na-heng-shu-hengzhegou-heng-shu-shu
岘 shu-shuzhe-shu-shu-hengzhe-shupie-shuwangou
瀛 dian-dian-ti-dian-heng-shuzhe-shu-hengzhe-heng-shupie-hengzhegou-heng-heng-piedian-pie-heng-shupie-hengzhegou-dian
匝 heng-shu-hengzhegou-shu-shuzhe
嘟 shu-hengzhe-heng-heng-shu-heng-pie-shu-hengzhe-heng-heng-hengpiewangou-shu
氣 pie-heng-heng-hengzhexiegou-dian-pie-heng-shu-pie-dian
伥 pie-shu-pie-heng-shuti-na
交 dian-heng-pie-dian-pie-na
戧 pie-dian-dian-hengzhe-heng-heng-shupie-shu-hengzhe-heng-heng-xiegou-pie-dian
枪 heng-shu-pie-dian-pie-na-hengzhegou-shuwangou
焱 dian-pie-pie-na-zuodian-pie-pie-dian-zuodian-pie-pie-na
吳 shu-hengzhe-heng-shuzhezhe-heng-pie-na
厲 heng-shupie-shu-heng-pie-heng-shu-hengzhe-heng-heng-shu-hengzhegou-shu-ti-dian
瓞 pie-shupie-shuti-dian-na-pie-heng-heng-shupie-dian
嚴 shu-hengzhe-heng-shu-hengzhe-heng-heng-shupie-heng-shu-heng-shu-shu-heng-heng-ti-pie-heng-pie-na
直 heng-shu-shu-hengzhe-heng-heng-heng-heng
狈 pie-wangou-pie-shu-hengzhe-shupie-dian
洹 dian-dian-ti-heng-shu-hengzhe-heng-heng-heng
沸 dian-dian-ti-hengzhe-heng-shuzhezhegou-shupie-shu
总 dian-pie-shu-hengzhe-heng-zuodian-wogou-dian-dian
挽 heng-shugou-ti-pie-hengpie-shu-hengzhe-heng-pie-shuwangou
押 heng-shugou-ti-shu-hengzhe-heng-heng-shu
奁 heng-pie-na-heng-pie-na-shuzhe
屃 hengzhe-heng-shupie-shu-hengzhe-shupie-dian
寂 dian-zuodian-henggou-shu-heng-heng-shugou-zuodian-dian-hengpie-na
廄 dian-heng-shupie-hengzhe-heng-heng-shuti-dian-hengzhewan-pie-hengpie-na
則 shu-hengzhe-heng-heng-heng-pie-dian-shu-shugou
准 dian-ti-pie-shu-dian-heng-heng-heng-shu-heng
啉 shu-hengzhe-heng-heng-shu-pie-dian-heng-shu-pie-na
哈 shu-hengzhe-heng-pie-na-heng-shu-hengzhe-heng
乏 pingpie-dian-hengpie-pingna
慑 zuodian-dian-shu-heng-shu-shu-heng-heng-heng-hengpie-dian-hengpie-na
插 heng-shugou-ti-pingpie-heng-shu-pie-shu-heng-hengzhe-heng-heng
燻 zuodian-pie-shupie-dian-pingpie-heng-shu-hengzhe-dian-pie-heng-shu-heng-heng-zuodian-dian-dian-dian
癟 dian-heng-shupie-dian-ti-pie-shu-hengzhe-heng-heng-heng-pie-na-heng-shu-hengzhegou-heng-shu-shu
痞 dian-heng-shupie-dian-ti-heng-pie-shu-dian-shu-hengzhe-heng
棠 shu-dian-pie-zuodian-henggou-shu-hengzhe-heng-heng-shu-ti-na
佥 pie-na-heng-dian-dian-pie-heng
令 pie-na-dian-hengpie-dian
执 heng-shugou-ti-shupie-hengzhexiegou-dian
懦 zuodian-dian-shu-heng-zuodian-henggou-shu-dian-dian-dian-dian-heng-pie-shu-hengzhegou-shu-shu
畟 shu-hengzhe-heng-shu-heng-pie-shuwan-pie-hengpie-pingna
癱 dian-heng-shupie-dian-ti-heng-shu-shu-heng-shu-hengzhe-heng-heng-heng-shupie-dian-pie-shu-dian-heng-heng-heng-shu-heng
填 heng-shu-ti-heng-shu-shu-hengzhe-heng-heng-heng-heng-pie-dian
差 dian-pie-heng-heng-heng-pie-heng-shu-heng
共 heng-shu-shu-heng-pie-dian
味 shu-hengzhe-heng-heng-heng-shu-pie-na
史 shu-hengzhe-heng-shupie-na
㝵 shu-hengzhe-heng-heng-heng-heng-shugou-dian
围 shu-hengzhegou-heng-heng-hengzhegou-shu-heng
浹 dian-dian-ti-heng-shupie-na-pie-dian-pie-dian
泸 dian-dian-ti-shu-heng-hengzhe-heng-shupie
恻 zuodian-dian-shu-shu-hengzhe-shupie-dian-shu-shugou
俺 pie-shu-heng-pie-na-shu-hengzhe-heng-heng-shuwangou
拼 heng-shugou-ti-dian-pie-heng-heng-pie-shu
墁 heng-shu-ti-shu-hengzhe-heng-heng-shu-hengzhe-shu-shu-heng-hengpie-na
漚 dian-dian-ti-heng-shu-hengzhe-heng-shu-hengzhe-heng-shu-hengzhe-heng-shuzhe
弄 heng-heng-shu-heng-heng-pie-shu
率 dian-heng-piezhe-piezhe-dian-dian-ti-pie-dian-heng-shu
倆 pie-shu-heng-shu-hengzhegou-shu-pie-dian-pie-dian
瞭 shu-hengzhegou-heng-heng-heng-heng-shupie-na-dian-pie-shu-hengzhe-heng-heng-shugou-zuodian-dian
瘊 dian-heng-shupie-dian-ti-pie-shu-hengzhe-heng-pie-heng-heng-pie-na
侏 pie-shu-pie-heng-heng-shu-pie-na
斓 dian-heng-pie-dian-dian-shu-hengzhegou-heng-shu-hengzhe-dian-pie-heng-shu-pie-dian
戒 heng-heng-pie-shu-xiegou-pie-dian
朔 dian-pie-heng-shuzhe-shu-shupie-shupie-hengzhegou-heng-heng
宗 dian-zuodian-henggou-heng-heng-shugou-zuodian-dian
岙 ti-heng-pie-na-shu-shuzhe-shu
军 zuodian-henggou-heng-piezhe-heng-shu
帚 hengzhe-heng-heng-zuodian-henggou-shu-hengzhegou-shu
劝 hengpie-dian-hengzhegou-shupie
猜 pie-wangou-pie-heng-heng-shu-heng-shu-hengzhegou-heng-heng
瞟 shu-hengzhegou-heng-heng-heng-heng-shu-hengzhe-shu-shu-heng-heng-heng-shugou-zuodian-dian
吞 heng-heng-pie-na-shu-hengzhe-heng
椠 heng-piezhe-shu-ti-pie-pie-heng-shu-heng-shu-pie-na
涣 dian-dian-ti-pie-hengpie-shu-hengzhe-heng-shupie-na
亥 dian-heng-piezhe-pie-pie-dian
伤 pie-shu-pie-heng-hengzhegou-pie
控 heng-shugou-ti-dian-zuodian-henggou-pie-dian-heng-shu-heng
怦 zuodian-dian-shu-heng-dian-pie-heng-shu
撩 heng-shugou-ti-heng-shupie-na-dian-pie-shu-hengzhe-heng-heng-shugou-zuodian-dian
妫 piedian-pie-heng-dian-shupie-hengzhegou-dian
徯 pie-pie-shu-hengpie-dian-dian-pie-piezhe-piezhe-dian-heng-pie-dian
瓜 pingpie-shupie-shuti-dian-na
炱 piezhe-dian-shu-hengzhe-heng-dian-pie-pie-na
焰 zuodian-pie-shupie-dian-pie-hengpie-pie-shu-heng-hengzhegou-heng-heng
喳 shu-hengzhe-heng-heng-shu-pie-na-shu-hengzhe-heng-heng-heng
漲 dian-dian-ti-hengzhe-heng-shuzhezhegou-heng-shu-heng-heng-heng-shuti-pie-na
殷 pie-shupie-hengzhe-heng-heng-hengzhegou-pie-hengzhewan-hengpie-na
油 dian-dian-ti-shu-hengzhegou-heng-shu-heng
为 dian-pie-hengzhegou-dian
抽 heng-shugou-ti-shu-hengzhe-heng-shu-heng
獗 pie-wangou-pie-heng-shupie-dian-pie-heng-shuzhe-shu-pie-pie-hengpie-pie-na
壁 hengzhe-heng-shupie-shu-hengzhe-heng-dian-heng-dian-pie-heng-heng-shu-heng-shu-heng
哉 heng-shu-heng-shu-hengzhe-heng-xiegou-pie-dian
帶 heng-pie-shu-shu-heng-shuwangou-zuodian-henggou-shu-hengzhegou-shu
構 heng-shu-pie-dian-heng-heng-shu-shu-heng-shu-hengzhegou-heng-shu-heng
收 shuti-shu-pie-heng-pie-na
歌 heng-shu-hengzhe-heng-shu-heng-shu-hengzhe-heng-shugou-pie-hengpie-pie-na
俏 pie-shu-shu-dian-pie-shu-hengzhegou-heng-heng
惑 heng-shu-hengzhe-heng-ti-xiegou-pie-dian-zuodian-wogou-dian-dian
扒 heng-shugou-ti-pie-na
漏 dian-dian-ti-hengzhe-heng-shupie-heng-shu-hengzhegou-shu-dian-dian-dian-dian
峙 shu-shuzhe-shu-heng-shu-heng-heng-shugou-dian
嵘 shu-shuzhe-shu-heng-shu-pie-zuodian-henggou-heng-shu-pie-na
凛 dian-ti-dian-heng-shu-hengzhe-shu-hengzhe-heng-heng-heng-heng-shugou-zuodian-dian
病 dian-heng-shupie-dian-ti-heng-shu-hengzhegou-pie-dian
勝 shupie-hengzhegou-heng-heng-dian-pie-heng-heng-shupie-na-hengzhegou-pie
卜 shu-dian
域 heng-shu-ti-heng-shu-hengzhe-heng-ti-xiegou-pie-dian
瑞 heng-heng-shu-ti-shu-shuzhe-shu-heng-pie-shu-hengzhegou-shu-shu
楠 heng-shu-pie-dian-heng-shu-shu-hengzhegou-dian-pie-heng-heng-shu
猗 pie-wangou-pie-heng-pie-dian-heng-shu-hengzhe-heng-shugou
橢 heng-shu-pie-dian-hengpiewangou-shu-heng-shupie-heng-shu-heng-shu-hengzhegou-heng-heng
以 shuti-dian-pie-dian
佤 pie-shu-heng-shuti-hengzhewangou-dian
姫 piedian-pie-heng-heng-shu-hengzhe-heng-shu-shuzhe
孬 heng-pie-shu-dian-piedian-pie-heng-hengpie-shugou-heng
屮 shuzhe-shu-shu
僱 pie-shu-dian-hengzhe-heng-shupie-pie-shu-dian-heng-heng-heng-shu-heng
兰 dian-pie-heng-heng-heng
嗳 shu-hengzhe-heng-pingpie-dian-dian-pie-zuodian-henggou-heng-pie-hengpie-na
割 dian-zuodian-henggou-heng-heng-heng-shu-shu-hengzhe-heng-shu-shugou
囵 shu-hengzhegou-pie-na-pie-shuwangou-heng
坴 heng-shu-heng-pie-shuwan-heng-shu-heng
桶 heng-shu-pie-dian-hengpie-dian-shu-hengzhegou-heng-heng-shu
浸 dian-dian-ti-hengzhe-heng-heng-zuodian-henggou-hengpie-na
拽 heng-shugou-ti-shu-hengzhe-heng-heng-xiegou-pie
柿 heng-shu-pie-dian-dian-heng-shu-hengzhegou-shu
崃 shu-shuzhe-shu-heng-dian-pie-heng-shu-pie-na
帅 shu-shupie-shu-hengzhegou-shu
径 pie-pie-shu-hengpie-dian-heng-shu-heng
猇 pie-wangou-pie-shu-heng-henggou-shupie-heng-shuwangou-pie-shuwangou
炆 zuodian-pie-shupie-dian-dian-heng-pie-na
吉 heng-shu-heng-shu-hengzhe-heng
喈 shu-hengzhe-heng-heng-shuti-pie-shuwangou-pie-shu-hengzhe-heng-heng
椋 heng-shu-pie-dian-dian-heng-shu-hengzhe-heng-shugou-zuodian-dian
伏 pie-shu-heng-shupie-na-dian
憐 zuodian-dian-shu-dian-pie-heng-shu-pie-na-pie-hengpie-dian-heng-shuzhe-shu
抒 heng-shugou-ti-hengpie-dian-henggou-shupie
昕 shu-hengzhe-heng-heng-pingpie-shupie-heng-shu
嬗 piedian-pie-heng-dian-heng-shu-hengzhe-shu-hengzhe-heng-heng-shu-hengzhe-heng-heng-heng
尙 shu-pie-dian-shu-hengzhegou-shu-hengzhe-heng
庚 dian-heng-shupie-hengzhe-heng-heng-shupie-na
初 dian-hengpie-shu-pie-dian-hengzhegou-pie
土 heng-shu-heng
璞 heng-heng-shu-ti-shu-shu-dian-pie-heng-dian-pie-heng-heng-heng-pie-na
校 heng-shu-pie-dian-dian-heng-pie-dian-pie-na
洣 dian-dian-ti-dian-pie-heng-shu-pie-na
檢 heng-shu-pie-dian-pie-na-heng-shu-hengzhe-heng-shu-hengzhe-heng-pie-dian-pie-dian
严 heng-shu-shu-dian-pie-heng-shupie
滇 dian-dian-ti-heng-shu-shu-hengzhe-heng-heng-heng-heng-pie-dian
悦 zuodian-dian-shu-dian-pie-shu-hengzhe-heng-pie-shuwangou
